N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float,m,is_reference_M,reference_error_at_max_M,excess_ratio_to_max_M,log10_excess_ratio_to_max_M
25,10,blaschke_mu_0p3,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713,1.10712912764749152086089451561164993813111660633562202934440743409013264385538157196171402,1.1071291276474915,['(0.341564687476806282541692020754265890574991483914933443268745879472852563853851568588147072 - 1.05495107099015504230292071617267808456335396956730703031648143415001448961350617864460665j)'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,0.014808333510893418,74.7639244370784,1.8736920898795484
25,10,blaschke_mu_0p3,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135,1.10773471431403540979033821598697287799543411007411626438973546366882040895161522025974424,1.1077347143140355,['(0.341564687476806282541692020754265890574991483914933443268745879472852563853851568588147072 + 1.05495107099015504230292071617267808456335396956730703031648143415001448961350617864460665j)'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,0.014009218779485716,79.07184060371287,1.8980218482540865
25,10,blaschke_mu_0p3,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243,1.20636943201557779112379141832653274315707106161591111722440296727860813191117129328679397,1.2063694320155778,"['(-0.975176265330794664261876365488129195508514396294806597146648639075631183577709418545331117 + 0.706833216881863630295789618173912669908862583874258017872506552398778974489863065190358382j)', '(-0.975176265330794664261876365488129195508514396294806597146648639075631183577709418545331117 - 0.706833216881863630295789618173912669908862583874258017872506552398778974489863065190358382j)']",5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,0.019085831717152175,63.20759031587971,1.800769233889468
25,10,blaschke_mu_0p3,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636,1.45024838162602579865231187585670501079478054782020360587082182689206442264215110904665819,1.4502483816260259,['1.45265156545518796234860093835670501079478054782020360587082182689206442264215110904665819'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,0.027420372787403408,52.88944803450129,1.7233690346532982
25,10,blaschke_mu_0p3,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065,1.46801106195891116570553772582389521215339505447782884337532280873555444689964441835541565,1.468011061958911,['1.46957313144786657210812561644889521215339505447782884337532280873555444689964441835541565'],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,0.9984379305110446,1.47030778488906,0.1674082567122692
25,10,blaschke_mu_0p3,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142,nan,,[],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,,,
25,10,blaschke_mu_0p3,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729,nan,,[],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,,,
25,10,blaschke_mu_0p3,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592,nan,,[],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,,,
25,10,blaschke_mu_0p3,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785,nan,,[],5.93160313252117836313428123798042893601750042761576421314947061526904908231298903822149927,5.931603132521178,-15,False,,,
25,11,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.101427692415898331749173321350286044844663476917415264478216504361782884617884404617304946,0.10142769241589833,['0.751427692415898331749173321350286044844663476917415264478216504361782884617884404617304946'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,2.5770275436851143e-17,3935840447823002.5,15.595037484567605
