N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float,m,is_reference_M,reference_error_at_max_M,excess_ratio_to_max_M,log10_excess_ratio_to_max_M
6,36,blaschke_mu_0p3,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,36,blaschke_mu_0p3,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785,nan,,[],5.26455857365428697104030382384413402555285657531459384765431079821006301282882968535047846e-180,5.264558573654287e-180,30,False,,,
6,40,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.00000714264223622027887320653311185957983372187170098776904902328071279506271524360918169222386,7.142642236220279e-06,['0.649992857357763779721126793466888140420166278128299012230950976719287204937284756390818308'],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,7.142642236220279e-06,1.0,0.0
6,40,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.0488924497757210225611191565713529431533463868061206202219407296108589035978404555843629874,0.04889244977572102,['(0.405828236300356229807144174500781475757893108794580874034885281793603443143689469863302373 - 0.0459622012115895395534124734862099149086523267198184133893748626181117836546350924449327809j)'],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,0.04889244977572102,1.0,0.0
6,40,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.0722125972397613583512364038483306406228696300115821730427610901826375380864289454714982276,0.07221259723976135,"['(0.33103940760763756787480935263840438936322815230288243091877175154158613315000486649627898 + 0.0652013372215549029097646628014605988347722888849606233209015418269121561918297475133494908j)', '(0.33103940760763756787480935263840438936322815230288243091877175154158613315000486649627898 - 0.0652013372215549029097646628014605988347722888849606233209015418269121561918297475133494908j)']",1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,0.07221259723976135,1.0,0.0
6,40,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,0.139020909060118570477720324166365537543938182027817277277895893064559279335930484642409019,0.13902090906011857,['(0.405828236300356229807144174500781475757893108794580874034885281793603443143689469863302373 + 0.0459622012115895395534124734862099149086523267198184133893748626181117836546350924449327809j)'],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,0.13902090906011857,1.0,0.0
