target,theta,z_real,z_imag,smin,diagnostic_status,configuration_digest,source_digest,cache_key
alpha^1,2.2089323345553233,0.5822392041139858,0.09136485670592329,3.012515488356328e-11,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
alpha^1,2.2580197197676637,0.5778377639263854,0.08792993907001127,2.97946814750929e-11,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
alpha^1,2.3071071049800045,0.5736101688861517,0.08428319050912651,2.946188270908778e-11,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
alpha^1,2.356194490192345,0.5695666036400303,0.08043339635996972,2.9127486827365704e-11,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
alpha^1,2.405281875404685,0.5657168094908736,0.0763898311138483,2.8791291417320258e-11,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
alpha^1,2.454369260617026,0.5620700609299888,0.07216223607361462,2.845469833475248e-11,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
alpha^1,2.5034566458293663,0.5586351432940767,0.06776079588601425,2.8117661205537515e-11,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
alpha^1,2.552544031041707,0.5554203316005856,0.0631961140059797,2.7781947602134113e-11,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
alpha^1,2.6016314162540475,0.5524333706124691,0.05847918715197893,2.744917569611574e-11,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
alpha^1,2.650718801466388,0.5496814561803747,0.05362137881395721,2.7121493535255053e-11,diagnostic_only_not_theorem_gate,4a09b46da042bd99120c3c23c0cc81b0e6b3f33dd2de64fa567151fb2cf15c72,2f4b8aa5a0edfdafeadf5c67ac561b97ec266443615d65a715c735eac6203ef6,169421e73b25e00e379d0a24e476d5f26da19186f48a179e3a8bf83ce889b3b8
