map_label,target_mode,N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,10,10,blaschke_mu_0p3,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785,nan,,[],3.74450843309529220012902090589489395366560974844887542454596447076272285323339422846345252e-179,3.744508433095292e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.00000000000000414751884161933767973725287216033068936545578010120122492395676990473595762068402871408471,4.1475188416193376e-15,['0.649999999999995852481158380662320262747127839669310634544219898798775076043230095264042379'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.00000000000996285921303389963528387751729055372257478321489138234403211138722301230117341729802929203,9.9628592130339e-12,['0.422499999990037140786966100364716122482709446277425216785108617655967888612776987698826583'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.0000000000104709158988001781403343171539089781966737326862641064321795424691010868382503657943511862,1.0470915898800179e-11,"['0.300000000004816359865057368465021311320649527441093970795228372717016356053113828009839817', '0.299999999989529084101199821859665682846091021803326267313735893567820457530898913161749634']",8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,0.000000000233684486199166917840571393645850422746491464616387529104346586811979879542159690684640615,2.336844861991669e-10,['0.274624999766315513800833082159428606354149577253508535383612470895653413188020120457840309'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,0.0000000681535264104822877131311569834487789728326719998714154003198330137419613195946027344752875,6.815352641048228e-08,['0.178506318153526410482287713131156983448778972832671999871415400319833013741961319594602734'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,0.00000979734328396735485927712226499371482966958373703757364096059088272474836213174815442630872,9.797343283967355e-06,['0.116038859843283967354859277122264993714829669583737037573640960590882724748362131748154426'],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
