name,mode,coefficient_present,coefficient_frobenius_upper,residual_frobenius_upper,coefficient_sha256,precision_bits
alpha^15,2,True,429387403.8338774,8.825150708537549e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,3,True,83985713.26794651,1.1749704107973724e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,4,True,21350219.59133509,8.346292250789244e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,5,True,4199383.899133788,1.1600022061152946e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,6,True,946197.5049471103,1.0578709903877583e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,7,True,187558.57235593896,1.591304967849962e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,8,True,39735.48583481595,9.464163294940617e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,9,True,7909.390578479483,1.0088064634075793e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,10,True,1625.6210204122394,7.70940159229716e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,11,True,324.28745243818497,1.3150243674185834e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,12,True,65.6858230664283,8.469463025208678e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,13,True,13.118991944451912,1.0657129118661728e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,14,True,2.639101184838771,9.344663458054261e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,15,True,0.5274377480590539,2.2811936315873392e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,16,True,0.10576596428993401,9.124265617240143e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,17,True,0.021145606922038294,1.1109662938927423e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,18,True,0.004234045880593309,9.174884690356726e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,19,True,0.0008470197822574007,1.1020943983984487e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,20,True,0.0001697181235541532,7.962760070115493e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,21,True,3.4646303643662114e-05,1.105668288235673e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,22,True,9.643658365095038e-06,9.490982137277714e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,23,True,7.815835728347051e-06,1.7578456961715204e-09,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,24,True,6.411260344151209e-06,9.106560339592052e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^15,25,False,5e-324,7.010383918543839e-10,684991a10ab9d06b7cada101ef30542622a5e9df71137e9ee3678a6e765b9e8e,256
alpha^16,-23,True,2.4067799943770836e-05,6.250397856406824e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-22,True,5.1203964624680146e-05,4.425792688502719e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-21,True,2.2202477343584495e-05,6.389309824015492e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-20,True,3.138822308728789e-05,4.690394946878845e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-19,True,3.882321342998611e-05,5.029470208628457e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-18,True,3.905531320297706e-05,4.892818643893128e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-17,True,2.9222129347885036e-05,1.4229357957052105e-08,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
