theta,branch,weighted_kernel,K_tail,phi_abs
0.3006602344255857,2,7.608785280429323e-24,1.2009473143443377e-23,0.6335652854666128
0.3006602344255857,0,7.608785280429323e-24,,
0.30679615757712825,1,2.025515672686903e-201,5.4448024933271156e-201,0.37200902607014236
0.30679615757712825,2,8.896446982625493e-24,1.4012446460595114e-23,0.6348960552779631
0.30679615757712825,0,8.896446982625493e-24,,
0.3129320807286708,1,8.214881532359426e-201,2.2150615693337332e-200,0.37086470399242105
0.3129320807286708,2,1.0420207896447719e-23,1.637752242930784e-23,0.6362505648473782
0.3129320807286708,0,1.0420207896447719e-23,,
0.3190680038802134,1,3.288590575362999e-200,8.895407421342979e-200,0.369695329240637
0.3190680038802134,2,1.222513474268755e-23,1.917281813230063e-23,0.6376284726809017
0.3190680038802134,0,1.222513474268755e-23,,
0.32520392703175593,1,1.2992950663880234e-199,3.525893837350517e-199,0.36850090397626956
0.32520392703175593,2,1.4365020630369242e-23,2.2479435576832207e-23,0.6390294178548745
0.32520392703175593,0,1.4365020630369242e-23,,
0.3313398501832985,1,5.065766247600797e-199,1.3792600520762099e-198,0.3672814448569915
0.3313398501832985,2,1.6904055745389703e-23,2.6393904354964836e-23,0.6404530196840681
0.3313398501832985,0,1.6904055745389703e-23,,
0.3374757733348411,1,1.9488348998796337e-198,5.3241475200875834e-198,0.36603698386020206
0.3374757733348411,2,1.9918804245672707e-23,3.103106259558172e-23,0.6418988774335042
0.3374757733348411,0,1.9918804245672707e-23,,
0.3436116964863836,1,7.3969722510867e-198,2.0278590745392522e-197,0.3647675691057259
0.3436116964863836,2,2.3500538300034173e-23,3.6527447015478983e-23,0.643366570077441
0.3436116964863836,0,2.3500538300034173e-23,,
0.3497476196379262,1,2.7697580397501717e-197,7.620252440322595e-197,0.36347326567476773
0.3497476196379262,2,2.7757986988273404e-23,4.3045271798907004e-23,0.6448556561089765
0.3497476196379262,0,2.7757986988273404e-23,,
0.35588354278946877,1,1.0230617597845407e-196,2.824934469597393e-196,0.36215415642202364
0.35588354278946877,2,3.2820564926028037e-23,5.0777085288578807e-23,0.6463656734036741
0.35588354278946877,0,3.2820564926028037e-23,,
0.3620194659410113,1,3.727355233014748e-196,1.0330511049988248e-195,0.3608103427776681
0.3620194659410113,2,3.884215281778373e-23,5.995120277967652e-23,0.6478961391405351
0.3620194659410113,0,3.884215281778373e-23,,
0.3681553890925539,1,1.3393955914040953e-195,3.7263196686955174e-195,0.35944194553576264
0.3681553890925539,2,4.600550942201213e-23,7.083802267845717e-23,0.6494465497835394
0.3681553890925539,0,4.600550942201213e-23,,
0.37429131224409645,1,4.7467883266387164e-195,1.325736680265302e-194,0.35804910562547043
0.37429131224409645,2,5.452740127876071e-23,8.375734138114879e-23,0.6510163811268388
0.37429131224409645,0,5.452740127876071e-23,,
0.38042723539563905,1,1.6590181418279246e-194,4.6519050793301403e-194,0.3566319848613115
0.38042723539563905,2,6.466454252376502e-23,9.90867887372096e-23,0.6526050884065219
0.38042723539563905,0,6.466454252376502e-23,,
0.3865631585471816,1,5.717993171957637e-194,1.6098372222871637e-193,0.35519076666856064
0.3865631585471816,2,7.672044156622165e-23,1.1727150996764896e-22,0.6542121064816688
0.3865631585471816,0,7.672044156622165e-23,,
0.39269908169872414,1,1.9433989237853135e-193,5.49408527918923e-193,0.35372565677977674
0.39269908169872414,2,9.105325353828671e-23,1.388352202627565e-22,0.6558368500871847
0.39269908169872414,0,9.105325353828671e-23,,
0.39883500485026674,1,6.513199526901019e-193,1.8490963963843368e-192,0.35223688389835806
0.39883500485026674,2,1.0808473623265274e-22,1.6439275356714582e-22,0.6574787141606323
0.39883500485026674,0,1.0808473623265274e-22,,
0.4049709280018093,1,2.152449019304711e-192,6.137146934078057e-192,0.3507247003249498
0.4049709280018093,2,1.283104015088542e-22,1.946642155667359e-22,0.6591370742449894
0.4049709280018093,0,1.283104015088542e-22,,
0.4111068511533518,1,7.014118806358643e-192,2.0086861620155965e-191,0.34918938254248705
0.4111068511533518,2,1.523109424134916e-22,2.30490830615389e-22,0.6608112869689245
0.4111068511533518,0,1.523109424134916e-22,,
0.4172427743048944,1,2.253795654899862e-191,6.48329450584031e-191,0.3476312317556433
0.4172427743048944,2,1.8076499682398403e-22,2.728525409666887e-22,0.66250069060582
0.4172427743048944,0,1.8076499682398403e-22,,
0.42337869745643697,1,7.141020970935019e-191,2.0635772628667e-190,0.3460505743804711
0.42337869745643697,2,2.144632793629514e-22,3.2288737162991074e-22,0.6642046057123794
0.42337869745643697,0,2.144632793629514e-22,,
0.42951462060797957,1,2.2310914459848065e-190,6.477299866663757e-190,0.344447762480073
0.42951462060797957,2,2.543240725070432e-22,3.819125126407921e-22,0.6659223358472357
0.42951462060797957,0,2.543240725070432e-22,,
0.4356505437595221,1,6.873792788239128e-190,2.0050548815545958e-189,0.3428231741422266
0.4356505437595221,2,3.0141001296231647e-22,4.514469896074785e-22,0.6676531683695237
0.4356505437595221,0,3.0141001296231647e-22,,
0.44178646691106466,1,2.0883918429750736e-189,6.121135171207066e-189,0.34117721379501087
0.44178646691106466,2,3.5694603817792505e-22,5.332356901528435e-22,0.6693963753169112
0.44178646691106466,0,3.5694603817792505e-22,,
0.44792239006260726,1,6.257232390078895e-189,1.8430168865277098e-188,0.33951031245664154
0.44792239006260726,2,4.223382681019357e-22,6.292743856589099e-22,0.6711512143620902
0.44792239006260726,0,4.223382681019357e-22,,
0.4540583132141498,1,1.8489678048985415e-188,5.4731862526474315e-188,0.3378229279159244
0.4540583132141498,2,4.991934870039199e-22,7.418352323488142e-22,0.672916929846218
0.4540583132141498,0,4.991934870039199e-22,,
0.46019423636569234,1,5.388637389217514e-188,1.603209810418938e-187,0.33611554483997313
0.46019423636569234,2,5.893387580012753e-22,8.734920519092127e-22,0.6746927538872773
0.46019423636569234,0,5.893387580012753e-22,,
0.46633015951723494,1,1.5490328801412903e-187,4.632432246814054e-187,0.3343886748061204
