map_label,target_mode,N,M,map_name,eig_index,eig,eig_re,eig_im,eig_abs,gram_error,gram_error_float
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,44,(-0.000000853611075535844334323825513819058087646379167826831479045125495864592846393870846479606843 - 0.00000990080434846429610079197188185169892771902295986600395746949229236213537878558990164396824j),-8.536110755358444e-07,-9.900804348464295e-06,9.937533829620253e-06,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,45,(-0.000000853611075535844334323825513819058087646379167826831479045125495864592846393870846479606843 + 0.00000990080434846429610079197188185169892771902295986600395746949229236213537878558990164396824j),-8.536110755358444e-07,9.900804348464295e-06,9.937533829620253e-06,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,46,(-0.00000455705703648566400304567700543673962991305957186176505877202696813012177387269348845678499 - 0.00000509194301829879056973595630597498284663227673080538243503136548220499071901710458388285178j),-4.557057036485664e-06,-5.09194301829879e-06,6.833348559482774e-06,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,47,(-0.00000455705703648566400304567700543673962991305957186176505877202696813012177387269348845678499 + 0.00000509194301829879056973595630597498284663227673080538243503136548220499071901710458388285178j),-4.557057036485664e-06,5.09194301829879e-06,6.833348559482774e-06,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,48,-0.00000428100259242375856966644096779529667444041621510074741250833781664070698539790101445369536,-4.281002592423759e-06,2.7625771027138184e-180,4.281002592423759e-06,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,49,-0.00000431103769573840584337945685838429669168563492044309597830473898397842726530112755007042381,-4.311037695738406e-06,-2.4546468233034952e-180,4.311037695738406e-06,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,50,(-0.00000191105072235275001824868747051938832127639105295418843031173858145984002252683615263874965 - 0.00000109103581222145388820004924035005560335753292711194655758605167044709854174085732049019612j),-1.91105072235275e-06,-1.091035812221454e-06,2.200562202473426e-06,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,51,(-0.00000191105072235275001824868747051938832127639105295418843031173858145984002252683615263874965 + 0.00000109103581222145388820004924035005560335753292711194655758605167044709854174085732049019612j),-1.91105072235275e-06,1.091035812221454e-06,2.200562202473426e-06,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,52,(-0.000000167092056101441688365825735306688482517154506643810835266730444694967144816467273231921844 - 0.00000133826438689644255121564536661923694930073851300192400780922662972483380935672336318345015j),-1.670920561014417e-07,-1.3382643868964427e-06,1.348655376457425e-06,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,53,(-0.000000167092056101441688365825735306688482517154506643810835266730444694967144816467273231921844 + 0.00000133826438689644255121564536661923694930073851300192400780922662972483380935672336318345015j),-1.670920561014417e-07,1.3382643868964427e-06,1.348655376457425e-06,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,54,(0.0000006419748205642386210578791257204736706551226889587872218603323997046612874470288731541895 - 0.000000438841956906712953477758303193317102376001157258231408199382247542070139806693561032707824j),6.419748205642386e-07,-4.3884195690671296e-07,7.776335469745371e-07,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,55,(0.0000006419748205642386210578791257204736706551226889587872218603323997046612874470288731541895 + 0.000000438841956906712953477758303193317102376001157258231408199382247542070139806693561032707824j),6.419748205642386e-07,4.3884195690671296e-07,7.776335469745371e-07,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,56,(0.00000023281154294936647366567709916072935864412480580907303962812626588225780868590781423994837 - 0.000000225003962006201220647869591596699850309576768189130625311790837628184960930015980073968385j),2.3281154294936648e-07,-2.2500396200620122e-07,3.2377152044142603e-07,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,57,(0.00000023281154294936647366567709916072935864412480580907303962812626588225780868590781423994837 + 0.000000225003962006201220647869591596699850309576768189130625311790837628184960930015980073968385j),2.3281154294936648e-07,2.2500396200620122e-07,3.2377152044142603e-07,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,58,0.0000656089091338060375449380406197992665306505604562566494861848453510310126138510325909877736,6.560890913380604e-05,6.079129781554492e-176,6.560890913380604e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,59,0.0000497866820617554216808864396738436661297203283377287277749963127400659409198742739489955586,4.9786682061755424e-05,-8.115710010971308e-176,4.9786682061755424e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,60,(0.0000235106923514695158699465588213203136979580338836909190012929045859052386377402414903538313 - 0.00000431205288637232646826028987909652997336163019707901484820844417623833826442451633424424031j),2.3510692351469515e-05,-4.312052886372326e-06,2.3902854535396375e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,61,(0.0000235106923514695158699465588213203136979580338836909190012929045859052386377402414903538313 + 0.00000431205288637232646826028987909652997336163019707901484820844417623833826442451633424424031j),2.3510692351469515e-05,4.312052886372326e-06,2.3902854535396375e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,62,(0.0000142197180715118972253945323977516300428471920164683924619220871905806542739635940521855983 - 0.000010033280653883990581583060272110961626247060671115036252776387466673996611931081096209643j),1.4219718071511898e-05,-1.003328065388399e-05,1.7403077392027102e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,63,(0.0000142197180715118972253945323977516300428471920164683924619220871905806542739635940521855983 + 0.000010033280653883990581583060272110961626247060671115036252776387466673996611931081096209643j),1.4219718071511898e-05,1.003328065388399e-05,1.7403077392027102e-05,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
